user_name,member,rating,comment,type,likes_num,comments_numpost_time,collect_time
jd_ChanFaI_POON,PLUS会员,5,外包装仍需要改善包裹好点,儿童瓶小小梦想家整箱,0,0,2020-07-25 11:16,2020-07-25 16:12:53.035069
jd_135332cyr,非会员,5,不但包装破损，还少了两瓶，第二次出现这种情况！不过售后服务态度很好，马上换新,500ml整箱,0,0,2020-07-25 08:58,2020-07-25 16:12:53.162771
jd_135332cyr,非会员,5,换的货，虽然有问题，但是京东的售后很棒，马上解决。满意.希望下次出货检查清楚，不要换来唤去的大家麻烦,500ml整箱,0,0,2020-07-25 08:56,2020-07-25 16:12:53.322308
A***7,PLUS会员,5,大只的喝不完 还是小只的好,330ml整箱,0,0,2020-07-25 02:29,2020-07-25 16:12:53.458019
jd_灵虚,PLUS会员,5,快递包装完美，产品质量很好！,330ml玻璃瓶整箱,0,0,2020-07-24 21:17,2020-07-25 16:12:53.584443
jullayezi,PLUS会员,5,玻璃瓶装的小瓶水，不怕太太阳晒啦,330ml玻璃瓶整箱,0,0,2020-07-24 21:04,2020-07-25 16:12:55.043034
婉娩YY,PLUS会员,5,好,500ml整箱,0,0,2020-07-24 21:03,2020-07-25 16:12:55.213842
z***r,PLUS会员,5,水是好水，所以价格有点高，能给我豆子么？,330ml单组,0,0,2020-07-24 21:02,2020-07-25 16:12:55.361061
奥满装潢,PLUS会员,5,口感很好，味道不错,500ml整箱,0,0,2020-07-24 21:00,2020-07-25 16:12:55.514437
奥满装潢,PLUS会员,5,质量很好，口感很好,500ml整箱,0,0,2020-07-24 20:59,2020-07-25 16:12:55.686826
生活大海,PLUS会员,5,喝完了 该买500毫升的,330ml整箱,0,0,2020-07-24 20:55,2020-07-25 16:12:55.835290
z***5,非会员,5,一如既往的好！赞赞赞！,330ml整箱,0,0,2020-07-24 18:26,2020-07-25 16:12:55.965559
东***7,PLUS会员,5,一分价钱一分货，挺喜欢的,500ml整箱,0,0,2020-07-24 17:36,2020-07-25 16:12:56.093948
p***d,非会员,5,一次都好非常多。现在出事情是不是应该多做点活动压压惊!,330ml整箱,0,1,2020-07-24 16:47,2020-07-25 16:12:56.234124
p***d,非会员,5,最近爆出来的新闻。是不是应该要注意点呢?,330ml整箱,0,1,2020-07-24 16:45,2020-07-25 16:12:56.365512
L***7,PLUS会员,5,330毫升换包装了。没啥可说的了，长期屯货。尤其到了夏天，肯定必备。京东自营让人绝对放心。赶上促销什么的，就多买一点。唯一美中不足的是，我这个地区经常没赠品，买了可以领赠品的金额，经常显示赠品无货，比较遗憾。不知道能给解决不。,500ml整箱,0,0,2020-07-24 16:40,2020-07-25 16:12:57.622632
L***7,PLUS会员,5,没啥可说的了，长期屯货。尤其到了夏天，肯定必备。京东自营让人绝对放心。赶上促销什么的，就多买一点。唯一美中不足的是，我这个地区经常没赠品，买了可以领赠品的金额，经常显示赠品无货，比较遗憾。不知道能给解决不。,330ml整箱,0,0,2020-07-24 16:38,2020-07-25 16:12:57.785350
梦舞冬风,PLUS会员,5,送货非常准时，京东品质也放心，疫情当下还是要选择可靠的渠道购物。,500ml整箱,0,0,2020-07-24 15:30,2020-07-25 16:12:57.947674
jd_189185hrp,PLUS会员,5,一直购买这个品牌的矿泉水，性价比超高,500ml整箱,0,0,2020-07-24 15:26,2020-07-25 16:12:58.094707
jin源88,PLUS会员,5,一如既往的好评,330ml整箱,0,0,2020-07-24 15:20,2020-07-25 16:12:58.227261
绿--萝fyy,PLUS会员,5,很好喝，用来做接待用的,500ml整箱,0,0,2020-07-24 15:16,2020-07-25 16:12:58.369088
梦舞冬风,PLUS会员,5,送货非常准时，京东品质也放心，疫情当下还是要选择可靠的渠道购物。,500ml整箱,0,0,2020-07-24 15:13,2020-07-25 16:12:58.505874
vickiwang,PLUS会员,5,好,330ml整箱,0,0,2020-07-24 14:17,2020-07-25 16:12:58.669849
j***d,非会员,5,品质很好，信赖这个品牌，这是第二次回购了，值得购买，,330ml整箱,0,0,2020-07-24 14:06,2020-07-25 16:12:58.830639
守护天使的凯文,PLUS会员,5,一如既往地好,330ml整箱,0,0,2020-07-24 13:39,2020-07-25 16:12:58.974573
PascalLu,PLUS会员,2,"买来大概一周 每天喝两瓶左右 今天喝了一点突然肚子疼
感觉不太舒服是不是有几瓶有问题！",500ml整箱,0,0,2020-07-24 11:33,2020-07-25 16:13:00.448102
jd_151293ofd,PLUS会员,5,发货速度很快，质量保证正品,500ml整箱,0,0,2020-07-24 10:42,2020-07-25 16:13:00.586008
jd_151293ofd,PLUS会员,5,发货速度很快，质量保证正品！,500ml整箱,0,0,2020-07-24 10:40,2020-07-25 16:13:00.746912
a***6,PLUS会员,5,配送员人太好啦！！！感恩,500ml整箱,0,0,2020-07-24 10:36,2020-07-25 16:13:00.912366
jd_136217vkg,非会员,5,商品质量好，是正品，京东快递送货快捷。,330ml整箱,0,0,2020-07-24 10:29,2020-07-25 16:13:01.067036
jd_138176tqj,PLUS会员,5,此用户未填写评价内容,1L*12整箱,0,0,2020-07-24 10:17,2020-07-25 16:13:01.215870
jd_181560ztc,PLUS会员,5,不错，整箱买很实惠。,500ml整箱,0,0,2020-07-24 09:54,2020-07-25 16:13:01.372598
c***4,PLUS会员,5,值得信誉的品牌，办公室常备,330ml整箱,0,0,2020-07-24 09:16,2020-07-25 16:13:01.516938
jd_136997fyox牛,非会员,5,买来儿子喝的，儿子说口感比其他水要好，我自己喝不出来,1L*12整箱,0,0,2020-07-24 08:42,2020-07-25 16:13:01.729438
夏花巨蟹,PLUS会员,5,很好，送货快，直接送到家里，非常方便,500ml整箱,0,0,2020-07-24 08:26,2020-07-25 16:13:01.883919
SamMuneuer,PLUS会员,5,非常棒的依云水，已经多次购买，很好喝。,330ml整箱,0,0,2020-07-24 08:24,2020-07-25 16:13:03.176780
TANGYUPING1979,非会员,5,非常满意的一次购物，非常满意的一次购物。,500ml整箱,0,0,2020-07-24 08:11,2020-07-25 16:13:03.362670
l***y,PLUS会员,1,2020年7月16日下的单，货到后发现生产日期是2019年6月8日。这都过了1年了，难道商家的货都是囤货吗？看了其他买家的评论，也都是过了一半的保质期。商家回复说是因为是进口的，需要海关检验，难道要检验一年左右吗？而且，这水喝起来有怪味，还有涩舌头的感觉，跟京东plus客服联系，告知无商家联系电话，商家也没有在线客服，让申请售后。看了其他买家的评论，我也感觉这是假货，原装进口，怎么没有法文，标签全是中文，难道是中国的厂家去法国生产了。价格也是网商里较贵的。一直很信任京东，这次算是让我长见识了，以后不会再买这个商家的产品了，那么多的好评不知道是怎么来的。一颗星也不想给。,330ml整箱,0,0,2020-07-23 23:33,2020-07-25 16:13:03.509319
dd189*****770,PLUS会员,5,首先说一下京东物流还是很快、很好滴，快递小哥没得说32楼直接送到，服务那叫一个好！依云矿泉水品牌价值比较高但水质真心觉得不是最好，但性价比很高，用来招呼客户还是比较好的，品牌知名度很高，但包装还是走了大众路线，这是厂商对产品的定位，总的来说还不错！,500ml整箱,1,0,2020-07-23 22:14,2020-07-25 16:13:03.685825
weidonghui1030,PLUS会员,5,好像是假的，容量是手工贴上去的，明天12315投诉,330ml整箱,0,0,2020-07-23 21:29,2020-07-25 16:13:03.865015
张***7,PLUS会员,5,包装完好 送货速度快 质量保证,500ml整箱,0,0,2020-07-23 19:19,2020-07-25 16:13:04.004924
p***r,PLUS会员,5,水还不错，就是有点小贵，法国的东西就是这么贵吗,500ml单组,0,0,2020-07-23 18:39,2020-07-25 16:13:04.143295
jd_133018srb,非会员,5,很好,750ml玻璃瓶整箱,0,0,2020-07-23 16:19,2020-07-25 16:13:04.281552
jd_136113whpk,非会员,5,两箱依云天然矿泉水，收到了！包装完好无损，快递哥辛苦了！经常喝矿泉水，这次体验一下依云矿泉水如何？没让人失望，水的口感不错，携带方便。让我感触的是：用力轻微转动就可以开启瓶盖了。我年纪大些，某些矿泉水瓶盖还得借用工具才可打开。可见大品牌的优势是多方位的。,500ml整箱,0,0,2020-07-23 16:17,2020-07-25 16:13:04.433250
是妍柒鸭,PLUS会员,5,购买之后第一次品尝这个水。感觉一般般吧。也就那样,500ml整箱,0,0,2020-07-23 15:59,2020-07-25 16:13:04.578106
饮一杯清风,PLUS会员,5,好,500ml整箱,0,0,2020-07-23 15:50,2020-07-25 16:13:05.781202
j***w,非会员,5,赞,330ml整箱,0,0,2020-07-23 15:03,2020-07-25 16:13:05.914612
j***c,PLUS会员,5,品质一流！外观美丽！快递超级给力！真没想到送货速度这么快！,500ml整箱,0,0,2020-07-23 15:01,2020-07-25 16:13:06.055774
e***0,非会员,5,可以的,330ml整箱,0,0,2020-07-23 14:44,2020-07-25 16:13:06.192862
y***2,PLUS会员,5,新包装，瓶子质量比以前好很多,500ml单组,0,0,2020-07-23 14:06,2020-07-25 16:13:06.338614
135*****003yy,非会员,5,水很好，快递小哥更好,330ml玻璃瓶整箱,0,0,2020-07-23 13:29,2020-07-25 16:13:06.473159
135*****003yy,非会员,5,水很好，快递小哥更好??,500ml整箱,0,0,2020-07-23 13:28,2020-07-25 16:13:06.608070
余则成9777,非会员,5,正品好水,500ml整箱,0,0,2020-07-23 13:17,2020-07-25 16:13:06.779444
相互拥有着,非会员,5,非常的满意，拿到手就喝了一瓶，味道超级好,500ml单组,0,0,2020-07-23 13:01,2020-07-25 16:13:06.936787
紫紫er,PLUS会员,5,物流很好,330ml整箱,0,0,2020-07-23 12:45,2020-07-25 16:13:07.080167
散***石,非会员,5,隔天到货，速度非常快，包装完好，很好,330ml整箱,0,0,2020-07-23 12:31,2020-07-25 16:13:08.156174
jd153057aol,PLUS会员,5,一直在喝这水，家里人都说好，一直在这买，好评,500ml整箱,0,0,2020-07-23 11:42,2020-07-25 16:13:08.334162
j***6,非会员,5,大品牌纯进口水，但是众口难调，我们家小孩大人都不太适合这种国外的进口水！,330ml整箱,0,0,2020-07-23 10:46,2020-07-25 16:13:08.484005
jd_186829mxt,非会员,5,实物和图片基本一致，第一次买很喜欢！！！,500ml整箱,0,0,2020-07-23 10:41,2020-07-25 16:13:08.616166
dqkxwcbilvBG,非会员,5,好东西 大家一起分享,500ml整箱,0,0,2020-07-23 10:30,2020-07-25 16:13:08.751085
jd_130159ycc,非会员,5,水很好喝，多次购买了,330ml玻璃瓶整箱,0,0,2020-07-23 10:18,2020-07-25 16:13:08.882482
jerry姗姗,非会员,5,"东东很不错，产品质量不错，
物流也比较快，直接送货上门，以后经常采购。",330ml玻璃瓶整箱,0,0,2020-07-23 10:10,2020-07-25 16:13:09.025296
爱购物的眯眯眼,非会员,4,还可以，价格高了,330ml整箱,0,0,2020-07-23 10:02,2020-07-25 16:13:09.163851
质朴于静,非会员,5,很不错，发货速度快，公司招待客人所用，物美价廉，支持,330ml整箱,0,0,2020-07-23 08:35,2020-07-25 16:13:09.293270
jd_scotty686,PLUS会员,5,贵，有点贵，真心是有点贵。其它都不错的，说老实话。品牌放心，吃了没病，然后在市场上也很久了，靠谱。瓶子设计逼格很高，看起来就美得不行。物流一向没毛病，非常得准时和靠谱，小哥楼下搬到楼上态度也好，点个赞！,500ml整箱,0,0,2020-07-23 08:35,2020-07-25 16:13:09.441185
b***e,PLUS会员,5,速度一如既往的快,500ml整箱,0,0,2020-07-23 08:30,2020-07-25 16:13:10.535325
赵宇夫,PLUS会员,5,完美,330ml整箱,0,0,2020-07-23 03:24,2020-07-25 16:13:10.725279
重***馆,非会员,5,价格便宜，让实体店难做啊,1L*12整箱,0,0,2020-07-22 22:12,2020-07-25 16:13:10.864654
不知端倪201391,PLUS会员,5,还没喝，有人说曝光了，的有时间再喝吧，一定要冻上,330ml整箱,0,0,2020-07-22 22:00,2020-07-25 16:13:10.998941
金-尘埃,PLUS会员,5,配送速度非常快，辛苦快递小哥啦，继续支持京东,330ml整箱,0,0,2020-07-22 21:57,2020-07-25 16:13:11.143024
jd_015763,非会员,5,高端，大气，上档次的矿泉水，品质有保证，孩子经常喝，就是剩下一瓶才想起评价,330ml整箱,0,0,2020-07-22 21:32,2020-07-25 16:13:11.287368
撬你家大门,PLUS会员,1,"一年到头总归要买个上百箱矿泉水
但看到这种包装 真的不敢恭维
拆过得重新用胶布贴一下",330ml整箱,0,0,2020-07-22 20:32,2020-07-25 16:13:11.433492
乐***我,PLUS会员,5,买依云一直在京东，价格便宜，送货又快，必须点赞,330ml整箱,0,0,2020-07-22 20:16,2020-07-25 16:13:11.591690
米***7,非会员,5,速度速度确实给力,330ml整箱,0,0,2020-07-22 19:50,2020-07-25 16:13:11.723385
y***5,非会员,5,很好，划算，活动买的,330ml整箱,0,0,2020-07-22 19:34,2020-07-25 16:13:11.856049
叶***2,PLUS会员,5,这水口感非常高，喝上瘾了。价格还算便宜，比小超市李便宜许多。,500ml整箱,0,0,2020-07-22 18:56,2020-07-25 16:13:13.256862
jd_139012ymm,PLUS会员,5,此用户未填写评价内容,330ml玻璃瓶整箱,0,0,2020-07-22 18:50,2020-07-25 16:13:13.423419
恰***1,PLUS会员,5,水很甘甜，很好喝，物流速度也是超级快，早上订的下午就到了,500ml整箱,0,0,2020-07-22 18:38,2020-07-25 16:13:13.580829
h***e,PLUS会员,5,很好，多次购买！,330ml整箱,0,0,2020-07-22 18:23,2020-07-25 16:13:13.737172
h***e,PLUS会员,5,很好，多次购买！,500ml整箱,0,0,2020-07-22 18:23,2020-07-25 16:13:13.908363
h***e,PLUS会员,5,很好，多次购买！,330ml玻璃瓶整箱,0,0,2020-07-22 18:22,2020-07-25 16:13:14.097880
小静jingjing22,PLUS会员,5,多次购买.一直喝依云的,500ml整箱,0,0,2020-07-22 17:43,2020-07-25 16:13:14.273172
cxyi小仪,非会员,5,物流很快，水不错，好划算,330ml单组,0,0,2020-07-22 16:06,2020-07-25 16:13:14.405198
t***a,PLUS会员,5,依云水，一如既往的好！,330ml玻璃瓶整箱,0,0,2020-07-22 15:55,2020-07-25 16:13:14.559124
吃不够的馋花花,非会员,5,还是有点贵啊，招待客户的，自己喝太奢侈了,330ml整箱,0,0,2020-07-22 15:31,2020-07-25 16:13:14.722277
福记茶吧,非会员,5,好,330ml整箱,0,0,2020-07-22 14:34,2020-07-25 16:13:16.062279
茗蘇,PLUS会员,5,很好喝，口感确实不错，明显跟其他水不一样,500ml整箱,0,0,2020-07-22 14:24,2020-07-25 16:13:16.208640
jd_134397urm,非会员,5,好好好买买买,330ml整箱,0,0,2020-07-22 13:18,2020-07-25 16:13:16.349594
j***4,非会员,5,服务态度很好 水的质量正常,500ml整箱,0,0,2020-07-22 12:25,2020-07-25 16:13:16.487226
我的一生dj,PLUS会员,5,好,330ml整箱,0,0,2020-07-22 11:43,2020-07-25 16:13:16.656615
如意He,PLUS会员,5,一直在京东买依云，还是不错的。物流也快！,500ml整箱,0,0,2020-07-22 09:59,2020-07-25 16:13:16.852103
如意He,PLUS会员,5,一直都在京东买这个水喝，还是不错的！物流也快！,500ml整箱,0,0,2020-07-22 09:52,2020-07-25 16:13:17.026512
jd_183451dgu,PLUS会员,5,一直喝这款水，包装大气,330ml整箱,0,0,2020-07-22 09:25,2020-07-25 16:13:17.198446
求***鸟,PLUS会员,5,京东买水送到家，活动价也很优惠，很放心,330ml单组,0,0,2020-07-22 09:25,2020-07-25 16:13:17.354337
jd139110lfo,PLUS会员,5,小巧可爱，一人正好能喝完不浪费。,330ml整箱,0,0,2020-07-22 09:06,2020-07-25 16:13:17.503952
j***9,非会员,5,好,330ml单组,0,0,2020-07-22 08:30,2020-07-25 16:13:18.798347
晕***泡,PLUS会员,5,超级好喝的水，就是价格稍贵，希望经常有活动,500ml整箱,0,0,2020-07-22 05:28,2020-07-25 16:13:18.970467
jd_8042718,PLUS会员,5,一直在京东购物，产品好。物流快。矿泉水只喝这个品牌,500ml整箱,0,0,2020-07-21 23:57,2020-07-25 16:13:19.135670
赵***才,PLUS会员,5,这次618买的，依云矿泉水，非常给力红包，抵扣了将近一半。折算下来的价钱，比百岁山差不了多少。下次如果再有活动还要参加，毕竟是大牌，味道、口感都很不错。打球的时候带上两瓶，既解渴又消暑，还特有范儿。顺带说一句新包装不错。,500ml整箱,0,0,2020-07-21 23:24,2020-07-25 16:13:19.300684
jd_159317ovr,PLUS会员,5,商品很好，强烈推荐，非常值得入手,330ml单组,0,0,2020-07-21 23:17,2020-07-25 16:13:19.472779
小漠孤狼,PLUS会员,5,买了好几次了，可以的,330ml整箱,0,0,2020-07-21 23:13,2020-07-25 16:13:19.653865
jd_wellma,PLUS会员,5,大瓶的烧菜做饭用，家里全部变成软水了不能喝。,1.25L*12整箱,0,0,2020-07-21 22:53,2020-07-25 16:13:19.840803
jd_135081auu,PLUS会员,5,产品包装完好无损，日期也比较新鲜。次日达很给力！18星好评！,330ml整箱,0,0,2020-07-21 22:49,2020-07-25 16:13:20.078589
jd_yzzjm1,PLUS会员,5,儿子爱运动，经常大汗淋漓的，矿物质水可以补充运动流汗失去的矿物质，不能单纯地喝纯净水,500ml整箱,0,0,2020-07-21 22:22,2020-07-25 16:13:20.284661
j***n,PLUS会员,5,一如既往的支持，口感很好。,750ml玻璃瓶整箱,0,0,2020-07-21 21:51,2020-07-25 16:13:20.498387
jd_138181qdq,PLUS会员,5,可以,330ml整箱,0,0,2020-07-21 21:12,2020-07-25 16:13:21.820403
jd_syd1012,PLUS会员,5,说真的价格还是比较贵的~首先京东的物流快得没话说，这也是为什么我一直在京东购物而不是~的原因，其次产品质量确实很不错，虽说价格不一定是市场最~，但是到手后觉得物有所值！而且加上优惠券、白条之类的，就算略贵也几乎可以忽略。总体来说性价比很不错~,500ml整箱,0,0,2020-07-21 20:42,2020-07-25 16:13:21.971128
jd_5ca0a163c7c49,非会员,5,快递小哥很给力 下次再来买,500ml单组,0,0,2020-07-21 19:21,2020-07-25 16:13:22.121972
jd_5ca0a163c7c49,非会员,5,发货很快快递很给力。,330ml单组,0,0,2020-07-21 19:20,2020-07-25 16:13:22.292572
灰***了,PLUS会员,5,认准的品牌！！！！希望优惠多点。,儿童瓶小小梦想家整箱,0,0,2020-07-21 18:36,2020-07-25 16:13:22.464209
灰***了,PLUS会员,5,认准的品牌！！！！！优惠多点就好哈,500ml整箱,0,0,2020-07-21 18:35,2020-07-25 16:13:22.609194
lyhuniquejt,非会员,1,都快过期了，给我发过来。京东旗舰店就这么做生意的吗,500ml整箱,0,0,2020-07-21 18:21,2020-07-25 16:13:22.720918
同学小宋,PLUS会员,5,第一次购买，喝着还可以吧。。。,750ml玻璃瓶整箱,0,0,2020-07-21 18:14,2020-07-25 16:13:22.867784
jd_139162rbk,PLUS会员,5,送貨很快，隔天就到。,500ml整箱,0,0,2020-07-21 17:41,2020-07-25 16:13:23.034984
h***u,PLUS会员,5,东西不错很好用,500ml整箱,0,0,2020-07-21 16:59,2020-07-25 16:13:23.181332
h***u,PLUS会员,5,东西不错很好用,750ml玻璃瓶整箱,0,0,2020-07-21 16:59,2020-07-25 16:13:24.398166
h***u,PLUS会员,5,东西不错很好用,330ml玻璃瓶整箱,0,0,2020-07-21 16:59,2020-07-25 16:13:24.547905
h***u,PLUS会员,5,东西不错很好用,330ml整箱,0,0,2020-07-21 16:59,2020-07-25 16:13:24.688519
Leeyuan__,PLUS会员,5,小分子水喝的感觉就是不一样，值得拥有,330ml整箱,0,0,2020-07-21 16:51,2020-07-25 16:13:24.836036
黄黄星月,PLUS会员,5,贵一点的水，果然不一样，呵呵。,500ml整箱,0,0,2020-07-21 16:19,2020-07-25 16:13:25.017945
佳姐妈咪,PLUS会员,5,颜值比较高的产品，会回购,330ml玻璃瓶整箱,0,0,2020-07-21 15:49,2020-07-25 16:13:25.176621
水***3,PLUS会员,5,京东品质保证，口感不错！补充微量元素！！,500ml整箱,0,0,2020-07-21 15:27,2020-07-25 16:13:25.370623
水***3,PLUS会员,5,京东品质保证，口感不错！补充微量元素！！,330ml整箱,0,0,2020-07-21 15:27,2020-07-25 16:13:25.522298
我***年,PLUS会员,5,物流超快 水很赞 一直在喝 推荐,500ml整箱,0,0,2020-07-21 13:46,2020-07-25 16:13:25.673996
jd_6478721,非会员,5,多次购买，好,330ml整箱,0,0,2020-07-21 13:18,2020-07-25 16:13:25.829661
EVOMR18,非会员,5,贵了刚买完~旗舰店活动买一箱送一箱也不高兴退了,儿童瓶小小梦想家整箱,0,0,2020-07-21 13:05,2020-07-25 16:13:27.091361
盗***2,非会员,5,一直都用的很好的,500ml整箱,0,0,2020-07-21 10:19,2020-07-25 16:13:27.229596
jd_6910410,非会员,5,一直喝依云，水喝上去有点甜，好评！送货也快，下单第二天就送到了！,1.25L*12整箱,0,0,2020-07-21 09:59,2020-07-25 16:13:27.365908
付老爷铭,非会员,5,已经买过多次了，感觉还是很棒的。,330ml玻璃瓶整箱,0,0,2020-07-21 09:38,2020-07-25 16:13:27.523814
最爱梨花猫,PLUS会员,5,帮朋友买的，据说挺好挺快，超市没看着就京东上买了,330ml整箱,0,0,2020-07-21 09:19,2020-07-25 16:13:27.670466
d***7,PLUS会员,5,真的非常准时，超级好,500ml整箱,0,0,2020-07-21 08:15,2020-07-25 16:13:27.825353
忘***3,PLUS会员,5,味道特别好喝，买过很多次,500ml整箱,0,0,2020-07-21 07:24,2020-07-25 16:13:27.983486
美淘-11,PLUS会员,5,瓶子很漂亮，水也不会差。,500ml单组,0,0,2020-07-21 07:24,2020-07-25 16:13:28.164657
晕***泡,PLUS会员,5,非常好喝的水，希望经常做活动！谢谢快递，辛苦,500ml整箱,0,0,2020-07-21 05:16,2020-07-25 16:13:28.326559
张***师,PLUS会员,5,每一瓶水的标签都是起泡、起皱的，以前没有发现过这种情况。严重怀疑这次买的依云不正宗。,500ml整箱,0,0,2020-07-21 00:31,2020-07-25 16:13:28.504903
下不尽的雪,PLUS会员,5,非常好喝，好喝，好喝,500ml整箱,0,0,2020-07-20 22:48,2020-07-25 16:13:29.605244
jd_607001237,非会员,5,已经多次购买这款饮用水了，价格合理送货速度。,500ml整箱,0,0,2020-07-20 22:10,2020-07-25 16:13:29.768146
飘零都市,PLUS会员,5,京东购物方便快捷，送货非常快，疫情期间足不出户想要的都送到。,330ml整箱,0,0,2020-07-20 21:31,2020-07-25 16:13:30.017113
jd_sj1984474,PLUS会员,5,天气热了，一直回购，相信依云,500ml整箱,0,0,2020-07-20 20:35,2020-07-25 16:13:30.191652
jd_135241qgb,PLUS会员,5,送货速度很快，给孩子买的，出门带着很方便，真心?,330ml整箱,0,0,2020-07-20 20:21,2020-07-25 16:13:30.397262
jd_159222oyd,PLUS会员,5,非常好的矿泉水，会继续购买,500ml整箱,0,0,2020-07-20 20:10,2020-07-25 16:13:30.587611
S***5,PLUS会员,5,很不错 送货很快 服务很好 非常不错,750ml玻璃瓶整箱,0,0,2020-07-20 19:18,2020-07-25 16:13:30.807896
j***x,PLUS会员,5,物流比较快水也算好喝,500ml整箱,0,0,2020-07-20 19:11,2020-07-25 16:13:31.024034
z***n,PLUS会员,5,发货速度一如既往的快，隔日达没毛病，非常好！夏天到了，车上常备依云，消耗速度也是妥妥的快！个人非常喜欢依云，口感很好，清洁柔和，甘甜发自肺腑！很棒！新包装更好看了！宝贝确实很棒，个人非常喜欢，朋友也说好来着，推荐购买！,330ml整箱,0,0,2020-07-20 18:42,2020-07-25 16:13:31.217352
jd115742cdv,PLUS会员,5,依云，一如即往的让人安心,500ml单组,0,0,2020-07-20 18:26,2020-07-25 16:13:31.398934
jd115742cdv,PLUS会员,5,一如肌肉的贵，但是一如即往的安心,儿童瓶小小梦想家整箱,0,0,2020-07-20 18:26,2020-07-25 16:13:32.703923
j***R,非会员,5,非常好！,500ml整箱,0,0,2020-07-20 18:06,2020-07-25 16:13:32.864591
郝***栋,非会员,5,东西送的特别快，就喜欢京东这点。,500ml整箱,0,0,2020-07-20 17:25,2020-07-25 16:13:33.020458
凯哥在奔驰,PLUS会员,5,口感好，包装好，正品保正,500ml整箱,0,0,2020-07-20 16:24,2020-07-25 16:13:33.219494
b***k,非会员,5,我觉得这个快递小哥简直好到不能再好，我留错了电话号，还是想尽办法找到我了！,500ml整箱,0,0,2020-07-20 16:02,2020-07-25 16:13:33.431428
